matchId,teamWon,goldEarned,kills,deaths,assists,cs,visionScore,totalDamageDealtToChampions,totalDamageDealt,teamDragons,teamBarons,teamTowers,enemyDragons,enemyBarons,enemyTowers
EUW1_7428495177,True,25411,15,10,31,315,85,30848,271793,2,0,4,0,0,3
EUW1_7440426351,False,80105,36,37,74,1028,176,204569,1308333,3,2,5,3,0,10
EUW1_7441438139,True,57290,28,27,53,716,155,87418,714841,4,2,8,2,0,9
EUW1_7442301866,False,65594,31,41,69,864,170,118029,828256,2,1,5,3,1,10
EUW1_7442377742,False,58905,25,29,41,794,133,91037,757326,1,0,1,4,1,11
EUW1_7443310938,True,66641,23,11,40,997,146,139155,983893,4,1,8,1,0,7
EUW1_7443376061,True,118362,55,47,96,1473,254,244175,1961812,5,3,8,4,2,11
EUW1_7444304084,True,93732,53,36,112,1201,226,213637,1326562,4,1,6,3,2,9
EUW1_7444378864,False,32424,11,22,17,523,64,43198,316058,0,0,0,2,0,3
EUW1_7447279241,True,78538,40,52,52,890,182,141537,921146,3,0,11,3,2,5
EUW1_7447338774,True,95537,67,58,104,970,225,238815,1208423,4,2,7,3,1,8
EUW1_7448242826,False,54031,19,34,28,853,135,99877,674514,0,0,3,4,1,8
EUW1_7450056441,True,82556,39,29,63,969,199,161997,1179618,4,2,12,2,0,4
EUW1_7450127067,False,36096,14,26,18,497,62,64499,381156,1,0,2,1,0,8
EUW1_7450160041,False,46705,19,39,33,657,117,82935,558605,0,0,1,4,0,5
EUW1_7453964735,True,97563,41,59,47,1213,210,185576,1472548,4,2,8,3,1,8
EUW1_7454032439,True,94142,55,47,79,1056,208,173960,1174764,5,3,9,2,0,9
EUW1_7454932837,False,55098,27,42,44,713,138,105383,620954,1,0,1,3,1,11
EUW1_7454984740,False,70388,42,42,71,737,175,147765,856284,0,1,5,5,1,10
EUW1_7457678053,False,62869,25,35,41,770,177,117300,795186,3,0,5,2,1,11
EUW1_7457741719,False,62443,29,57,41,721,120,121971,643461,1,0,3,3,0,8
EUW1_7457779211,False,57470,22,36,40,713,137,116566,670992,0,0,5,4,1,9
EUW1_7460544961,False,37658,11,28,27,581,64,60174,411510,3,0,6,1,1,8
EUW1_7460596950,True,70457,44,18,63,854,176,113524,825444,1,1,11,2,0,0
EUW1_7460645130,True,64331,42,26,82,762,133,127382,764195,2,1,7,1,0,3
EUW1_7462575853,False,30652,15,25,21,406,57,42720,307320,0,0,2,3,0,11
EUW1_7463549201,False,49682,25,22,52,607,130,92324,506278,1,1,3,3,0,8
EUW1_7463617250,False,72363,27,33,48,1054,138,118166,1116707,1,0,4,5,2,9
EUW1_7466726821,False,49493,17,29,13,749,118,67514,582839,0,0,3,4,1,4
EUW1_7467826004,True,43131,20,5,20,660,77,50203,543803,4,0,10,0,0,0
EUW1_7476504133,True,66882,38,18,73,827,117,123112,799069,3,1,11,1,0,3
EUW1_7476558960,False,76084,26,24,46,1073,170,133142,1107360,4,2,7,2,0,9
EUW1_7477690525,False,58489,23,33,40,819,151,95367,764369,2,1,2,3,1,9
EUW1_7477750862,False,47844,16,33,25,708,102,65757,557325,0,0,1,2,1,9
EUW1_7478969371,True,81412,41,18,58,1039,195,155044,1158223,3,2,8,2,0,10
EUW1_7480146726,False,78697,42,40,81,950,181,168512,1098556,2,2,6,4,0,12
EUW1_7480214115,True,50185,31,9,45,594,107,73893,531261,3,0,10,0,0,1
EUW1_7480263127,True,61268,35,15,59,784,145,113353,656762,1,1,8,3,0,3
EUW1_7482803362,False,66559,31,30,43,892,171,98235,887641,3,1,5,2,1,8
EUW1_7482867974,False,65053,27,23,52,897,179,102589,933923,3,1,5,2,0,7
EUW1_7486224009,True,30794,13,13,32,364,57,61304,466222,1,2,9,4,0,6
EUW1_7487325774,True,81381,37,23,61,1048,176,136664,1241397,4,3,9,2,0,6
EUW1_7487388074,True,79724,43,24,83,1042,198,167428,1174551,4,2,9,2,0,7
EUW1_7490648251,True,69299,46,24,56,781,184,137612,834365,5,1,9,0,0,4
EUW1_7490737521,False,63757,27,39,53,852,181,116920,783622,1,0,4,4,2,7
EUW1_7491833015,False,25076,14,21,11,347,39,38763,278257,1,0,2,1,0,9
EUW1_7492789974,True,69069,38,17,63,931,166,119790,940525,4,2,11,1,0,3
EUW1_7492856490,False,40237,14,18,25,616,86,57254,427618,0,0,1,3,0,7
EUW1_7492901583,True,76794,44,19,69,972,196,139439,996095,4,2,10,1,0,7
EUW1_7501766850,False,55296,16,36,21,768,139,122802,690235,1,0,1,3,1,11
EUW1_7501818841,True,70796,52,26,64,687,177,139807,747316,4,2,7,0,0,5
EUW1_7502823653,False,23759,6,18,9,391,36,28625,305191,0,0,2,3,0,10
EUW1_7502881630,True,55163,30,21,59,754,99,134583,816921,4,1,6,3,0,9
EUW1_7505037981,False,40057,16,37,17,539,103,56947,391184,1,0,2,3,0,5
EUW1_7505071220,True,87314,43,40,71,1004,279,179832,1260836,2,1,8,4,2,8
EUW1_7507189744,True,63106,36,14,52,859,120,97317,756497,4,1,11,1,0,1
EUW1_7507243887,True,69725,31,22,78,914,155,128436,839393,4,2,10,1,0,1
EUW1_7508308199,True,42611,22,18,30,631,68,71343,592067,3,0,11,2,1,5
EUW1_7508367127,False,67213,34,47,55,862,152,140145,830016,3,0,2,2,1,10
EUW1_7509541069,False,19731,1,21,1,352,35,17081,207633,0,0,0,1,0,3
EUW1_7509582251,False,88783,64,54,80,883,196,252336,1040997,4,0,7,3,2,8
EUW1_7514654158,True,69965,60,29,80,755,139,163846,762951,4,0,7,1,1,4
EUW1_7514711133,True,59281,31,9,55,793,103,93831,686570,2,1,11,1,0,5
EUW1_7517687410,True,69201,51,33,68,712,158,142542,698192,3,2,8,2,0,2
EUW1_7517756532,False,62103,27,26,34,906,212,99284,748498,4,1,8,1,1,7
EUW1_7517816837,True,45564,26,7,38,652,99,53727,506832,3,0,5,0,0,2
EUW1_7521912726,False,58319,27,51,28,773,171,139919,649306,3,0,6,2,1,7
EUW1_7523779753,False,65477,34,32,50,815,167,112829,823667,4,0,3,1,1,11
EUW1_7523838470,True,71948,47,20,114,820,206,168208,942558,4,2,7,1,0,8
EUW1_7566194965,True,36363,18,15,36,404,107,70524,285426,3,1,8,0,0,3
EUW1_7567250886,True,34902,21,11,38,384,120,72428,287409,4,1,10,0,0,3
EUW1_7567310268,True,32181,12,10,44,386,80,47107,269883,3,1,10,0,0,0
EUW1_7567370488,True,32079,14,18,30,358,87,50601,265076,2,1,10,1,0,0
EUW1_7570554656,True,24308,11,9,19,332,53,34680,183579,2,0,6,1,0,0
EUW1_7570595726,True,41903,19,16,44,525,108,75423,450760,5,1,8,0,0,7
EUW1_7590542537,True,60521,35,18,47,799,128,129980,726775,4,1,8,0,0,5
EUW1_7598126357,False,70491,36,37,66,865,203,171393,883297,3,2,3,3,0,9
EUW1_7598210504,False,71283,27,21,46,991,207,130423,939090,5,2,5,1,1,7
EUW1_7598281457,True,55504,31,9,45,769,122,99429,705873,3,1,7,1,0,4
EUW1_7600582766,False,29816,6,15,15,557,70,40931,437825,2,0,4,3,1,7
EUW1_7600639097,True,44618,21,15,29,529,130,85045,435385,3,2,9,2,0,5
EUW1_7601567995,False,48155,11,21,15,790,106,73066,660761,1,0,3,3,1,10
EUW1_7601632022,False,39867,11,28,13,637,82,50704,415758,0,0,1,4,1,4
EUW1_7601683242,False,47746,22,33,42,630,104,73030,432162,1,0,3,2,0,7
EUW1_7601730853,False,54982,21,36,28,826,155,107024,768928,1,0,3,4,0,7
EUW1_7602719574,True,75758,47,16,110,926,191,172387,984886,4,2,11,2,0,7
