,Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT GigaChad#1070,WT Nasty Boy#EUW
Billy Bongo#EUW,,-4.836617017151882,7.00778037622495,5.129109518100367,9.844313025203828,2.055367179598036,-2.917600326427191,7.367083853247684
BuddhaGoesSmite#EUW,-9.964221742657276,,9.022124112944915,3.7789615106411047,9.158734512312346,0.6910018068191686,-2.073252068559714,5.951963915727843
Sporus#EUW,-15.451683835733423,-14.118527158102342,,-2.710911371294445,-2.981018474841107,-7.411462996087428,-11.381042526387338,-7.85058589092618
Tibbtokontop#EUW,-4.582266726611294,-2.7815049377098346,6.564503290773707,,9.54060696236903,-0.12205510195817051,-2.9095528683975975,5.28764839852609
WT BrokenSword#EUW,-16.120434487817054,-12.429136879722455,-1.4843183626943397,6.658725384166089,,-0.740531027063476,-9.795114111257314,-1.0081614562060832
WT Final Stand#EUW,-6.407052420337527,-2.5293864118312843,6.4233371650858215,4.65647300321804,7.376876118071005,,-5.385148098707575,1.3379254692486466
WT GigaChad#1070,-7.916492836078766,2.153718272903668,14.628598049526149,-0.34523233755980814,5.395157443692898,0.04036675449554202,,7.7172277156569615
WT Nasty Boy#EUW,-8.290064753503549,-10.0447376126396,6.267294092870795,2.7689862455525294,8.931056196779485,-4.304005227211215,-12.98918783991634,
