summoner,games,wins,win_rate,lose_rate
WT BrokenSword#EUW,84,32,38.095238095238095,61.904761904761905
Sporus#EUW,68,27,39.705882352941174,60.294117647058826
WT Nasty Boy#EUW,84,35,41.66666666666667,58.33333333333333
Tibbtokontop#EUW,148,63,42.567567567567565,57.432432432432435
WT Final Stand#EUW,148,69,46.62162162162162,53.37837837837838
BuddhaGoesSmite#EUW,132,62,46.96969696969697,53.03030303030303
Billy Bongo#EUW,151,72,47.682119205298015,52.317880794701985
WT GigaChad#1070,70,35,50.0,50.0
