summoner,coef,intercept,games,odds_mult_per_1000g
WT BrokenSword#EUW,0.00029989065338946577,-3.5547035989615017,128,1.3497112131603166
WT Final Stand#EUW,0.000256830049892939,-2.67169016542797,238,1.2928253922741046
WT Nasty Boy#EUW,0.00022411406501099477,-3.0066409271340397,131,1.2512137309969922
Billy Bongo#EUW,0.00019525451584555197,-2.7936579690981005,226,1.2156203417593048
Tibbtokontop#EUW,0.00016503922157367625,-2.210988520916102,203,1.1794393772726504
BuddhaGoesSmite#EUW,0.00016355878963086586,-1.7269913644922745,205,1.1776945893824584
WT GigaChad#1070,0.00015412862524771088,-2.137390239342933,124,1.1666409366075952
Sporus#EUW,0.00012902049509566676,-2.1054676469600975,81,1.13771344147261
