matchId,replaced_player,new_loss_rate,original_loss_rate,impact_loss_rate
EUW1_6823354383,Billy Bongo#EUW,55.63023887761241,33.333333333333336,22.296905544279078
EUW1_6823354383,BuddhaGoesSmite#EUW,55.75844954025001,33.333333333333336,22.425116206916673
EUW1_6823354383,WT Final Stand#EUW,55.387061960828,33.333333333333336,22.053728627494664
EUW1_6823354383,WT GigaChad#1070,55.64593970547425,33.333333333333336,22.31260637214091
EUW1_6886027973,Billy Bongo#EUW,57.89299875187047,100.0,-42.10700124812953
EUW1_6886027973,BuddhaGoesSmite#EUW,58.02120941450808,100.0,-41.97879058549192
EUW1_6886027973,Sporus#EUW,56.2181380504611,100.0,-43.7818619495389
EUW1_6886027973,WT Nasty Boy#EUW,57.07762349009921,100.0,-42.92237650990079
EUW1_6886128304,Billy Bongo#EUW,56.461314967245514,50.0,6.461314967245513
EUW1_6886128304,BuddhaGoesSmite#EUW,56.589525629883106,50.0,6.589525629883108
EUW1_6886128304,WT Final Stand#EUW,56.2181380504611,50.0,6.218138050461097
EUW1_6886128304,WT Nasty Boy#EUW,55.64593970547425,50.0,5.6459397054742455
EUW1_6891963768,Billy Bongo#EUW,56.461314967245514,50.0,6.461314967245513
EUW1_6891963768,BuddhaGoesSmite#EUW,56.589525629883106,50.0,6.589525629883108
EUW1_6891963768,WT Final Stand#EUW,56.2181380504611,50.0,6.218138050461097
EUW1_6891963768,WT Nasty Boy#EUW,55.64593970547425,50.0,5.6459397054742455
EUW1_6894653848,BuddhaGoesSmite#EUW,56.41889681345285,71.42857142857143,-15.009674615118584
EUW1_6894653848,Tibbtokontop#EUW,55.63023887761241,71.42857142857143,-15.798332550959016
EUW1_6894653848,WT Final Stand#EUW,56.04750923403085,71.42857142857143,-15.381062194540585
EUW1_6894653848,WT GigaChad#1070,56.30638697867709,71.42857142857143,-15.122184449894338
EUW1_6913543811,Billy Bongo#EUW,54.911263225666595,50.0,4.911263225666596
EUW1_6913543811,Tibbtokontop#EUW,100.0,50.0,50.0
EUW1_6913543811,WT Final Stand#EUW,54.66808630888218,50.0,4.66808630888218
EUW1_6913543811,WT GigaChad#1070,53.84615384615385,50.0,3.8461538461538436
EUW1_6913543811,WT Nasty Boy#EUW,55.55555555555556,50.0,5.555555555555558
EUW1_6913588856,Billy Bongo#EUW,54.911263225666595,50.0,4.911263225666596
EUW1_6913588856,Tibbtokontop#EUW,100.0,50.0,50.0
EUW1_6913588856,WT Final Stand#EUW,54.66808630888218,50.0,4.66808630888218
EUW1_6913588856,WT GigaChad#1070,53.84615384615385,50.0,3.8461538461538436
EUW1_6913588856,WT Nasty Boy#EUW,55.55555555555556,50.0,5.555555555555558
EUW1_6920395902,Billy Bongo#EUW,54.122605289826154,23.076923076923073,31.04568221290308
EUW1_6920395902,BuddhaGoesSmite#EUW,100.0,23.076923076923073,76.92307692307693
EUW1_6920395902,WT Final Stand#EUW,53.87942837304174,23.076923076923073,30.802505296118664
EUW1_6920395902,WT GigaChad#1070,50.0,23.076923076923073,26.923076923076927
EUW1_6920395902,WT Nasty Boy#EUW,33.333333333333336,23.076923076923073,10.256410256410264
EUW1_6920451983,Billy Bongo#EUW,71.42857142857143,50.0,21.42857142857143
EUW1_6920451983,BuddhaGoesSmite#EUW,55.55555555555556,50.0,5.555555555555558
EUW1_6920451983,Tibbtokontop#EUW,33.333333333333336,50.0,-16.666666666666664
EUW1_6920451983,WT Final Stand#EUW,0.0,50.0,-50.0
EUW1_6920451983,WT GigaChad#1070,58.33333333333333,50.0,8.333333333333325
EUW1_6931197093,BuddhaGoesSmite#EUW,56.6018247549378,63.63636363636363,-7.034538881425833
EUW1_6931197093,Sporus#EUW,100.0,63.63636363636363,36.36363636363637
EUW1_6931197093,Tibbtokontop#EUW,55.81316681909736,63.63636363636363,-7.823196817266275
EUW1_6931197093,WT Final Stand#EUW,100.0,63.63636363636363,36.36363636363637
EUW1_6931197093,WT Nasty Boy#EUW,100.0,63.63636363636363,36.36363636363637
EUW1_6931253284,BuddhaGoesSmite#EUW,56.6018247549378,63.63636363636363,-7.034538881425833
EUW1_6931253284,Sporus#EUW,100.0,63.63636363636363,36.36363636363637
EUW1_6931253284,Tibbtokontop#EUW,55.81316681909736,63.63636363636363,-7.823196817266275
EUW1_6931253284,WT Final Stand#EUW,100.0,63.63636363636363,36.36363636363637
EUW1_6931253284,WT Nasty Boy#EUW,100.0,63.63636363636363,36.36363636363637
EUW1_6931327369,Billy Bongo#EUW,100.0,50.0,50.0
EUW1_6931327369,BuddhaGoesSmite#EUW,53.84615384615385,50.0,3.8461538461538436
EUW1_6931327369,Tibbtokontop#EUW,50.0,50.0,0.0
EUW1_6931327369,WT Final Stand#EUW,75.0,50.0,25.0
EUW1_6931327369,WT Nasty Boy#EUW,58.33333333333333,50.0,8.333333333333325
EUW1_6932347351,Billy Bongo#EUW,100.0,38.888888888888886,61.111111111111114
EUW1_6932347351,BuddhaGoesSmite#EUW,100.0,38.888888888888886,61.111111111111114
EUW1_6932347351,Sporus#EUW,58.33333333333333,38.888888888888886,19.444444444444443
EUW1_6932347351,Tibbtokontop#EUW,33.333333333333336,38.888888888888886,-5.5555555555555465
EUW1_6932347351,WT Final Stand#EUW,50.0,38.888888888888886,11.111111111111116
EUW1_6934657626,Billy Bongo#EUW,55.3993610858827,100.0,-44.6006389141173
EUW1_6934657626,BuddhaGoesSmite#EUW,0.0,100.0,-100.0
EUW1_6934657626,Sporus#EUW,0.0,100.0,-100.0
