summoner,championName,games,wins,win_rate
Billy Bongo#EUW,Ekko,23,13,56.52173913043478
BuddhaGoesSmite#EUW,Lux,24,14,58.333333333333336
Sporus#EUW,Ashe,19,10,52.63157894736842
Tibbtokontop#EUW,Malphite,13,6,46.15384615384615
WT BrokenSword#EUW,Trundle,12,8,66.66666666666666
WT Final Stand#EUW,Amumu,35,25,71.42857142857143
WT GigaChad#1070,Jinx,14,9,64.28571428571429
WT Nasty Boy#EUW,DrMundo,14,10,71.42857142857143
