summoner,games,mean_kda,std_kda,cv_kda,volatility
Sporus#EUW,81.0,2.61871426710608,2.270519518528823,0.8670359905427772,2.0443186857002646
WT Final Stand#EUW,238.0,2.7545412777223923,2.8341607103025774,1.028904788330498,2.4384022705123627
Billy Bongo#EUW,226.0,3.675849547278119,3.2045434077018795,0.8717830712290086,2.9700400906283257
WT BrokenSword#EUW,128.0,3.0650486781736785,3.3531674750617286,1.0940013771852155,2.743144479528408
BuddhaGoesSmite#EUW,205.0,4.043400230504871,3.638347115658157,0.899823640561019,3.3631257056127524
Tibbtokontop#EUW,203.0,4.4683071789321795,3.9601492290898066,0.8862750635770277,4.160636245840328
WT Nasty Boy#EUW,131.0,4.543168619997888,5.1332222861370145,1.1298771222229917,4.058070998202577
WT GigaChad#1070,124.0,5.711353062646166,5.317674142741538,0.9310708135906712,5.529963857533951
