,Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT GigaChad#1070,WT Nasty Boy#EUW
Billy Bongo#EUW,,51.4018691588785,44.230769230769226,45.52845528455284,41.0958904109589,50.40650406504065,55.172413793103445,44.11764705882353
BuddhaGoesSmite#EUW,51.4018691588785,,42.857142857142854,43.39622641509434,39.130434782608695,49.557522123893804,50.0,47.45762711864407
Sporus#EUW,44.230769230769226,42.857142857142854,,40.67796610169492,34.61538461538461,41.66666666666667,40.0,21.73913043478261
Tibbtokontop#EUW,45.52845528455284,43.39622641509434,40.67796610169492,,37.5,44.166666666666664,46.93877551020408,36.507936507936506
WT BrokenSword#EUW,41.0958904109589,39.130434782608695,34.61538461538461,37.5,,38.59649122807017,48.148148148148145,25.71428571428571
WT Final Stand#EUW,50.40650406504065,49.557522123893804,41.66666666666667,44.166666666666664,38.59649122807017,,47.61904761904761,48.529411764705884
WT GigaChad#1070,55.172413793103445,50.0,40.0,46.93877551020408,48.148148148148145,47.61904761904761,,60.0
WT Nasty Boy#EUW,44.11764705882353,47.45762711864407,21.73913043478261,36.507936507936506,25.71428571428571,48.529411764705884,60.0,
