matchId,replaced_player,original_win_rate,new_win_rate,impact_win_rate
EUW1_6934657626,Tibbtokontop#EUW,0.0,45.261086187320146,45.261086187320146
EUW1_6934657626,WT GigaChad#1070,0.0,50.0,50.0
EUW1_6934709931,Billy Bongo#EUW,50.0,44.2292513346953,-5.770748665304703
EUW1_6934709931,Sporus#EUW,50.0,44.44444444444444,-5.555555555555558
EUW1_6934709931,Tibbtokontop#EUW,50.0,44.88969860789814,-5.110301392101863
EUW1_6934709931,WT Final Stand#EUW,50.0,100.0,50.0
EUW1_6934709931,WT GigaChad#1070,50.0,0.0,-50.0
EUW1_6934758240,Billy Bongo#EUW,50.0,44.2292513346953,-5.770748665304703
EUW1_6934758240,Sporus#EUW,50.0,44.44444444444444,-5.555555555555558
EUW1_6934758240,Tibbtokontop#EUW,50.0,44.88969860789814,-5.110301392101863
EUW1_6934758240,WT Final Stand#EUW,50.0,100.0,50.0
EUW1_6934758240,WT GigaChad#1070,50.0,0.0,-50.0
EUW1_6938992253,Billy Bongo#EUW,50.0,44.2292513346953,-5.770748665304703
EUW1_6938992253,Sporus#EUW,50.0,44.44444444444444,-5.555555555555558
EUW1_6938992253,Tibbtokontop#EUW,50.0,44.88969860789814,-5.110301392101863
EUW1_6938992253,WT Final Stand#EUW,50.0,100.0,50.0
EUW1_6938992253,WT GigaChad#1070,50.0,0.0,-50.0
EUW1_6939036975,Billy Bongo#EUW,50.0,44.2292513346953,-5.770748665304703
EUW1_6939036975,Sporus#EUW,50.0,44.44444444444444,-5.555555555555558
EUW1_6939036975,Tibbtokontop#EUW,50.0,44.88969860789814,-5.110301392101863
EUW1_6939036975,WT Final Stand#EUW,50.0,100.0,50.0
EUW1_6939036975,WT GigaChad#1070,50.0,0.0,-50.0
EUW1_6941240569,Billy Bongo#EUW,0.0,45.01790927053573,45.01790927053573
EUW1_6941240569,BuddhaGoesSmite#EUW,0.0,44.88969860789814,44.88969860789814
EUW1_6941240569,Sporus#EUW,0.0,66.66666666666666,66.66666666666666
EUW1_6941240569,WT Final Stand#EUW,0.0,45.261086187320146,45.261086187320146
EUW1_6941240569,WT GigaChad#1070,0.0,66.66666666666666,66.66666666666666
EUW1_6941294365,Billy Bongo#EUW,0.0,45.01790927053573,45.01790927053573
EUW1_6941294365,BuddhaGoesSmite#EUW,0.0,44.88969860789814,44.88969860789814
EUW1_6941294365,Sporus#EUW,0.0,66.66666666666666,66.66666666666666
EUW1_6941294365,WT Final Stand#EUW,0.0,45.261086187320146,45.261086187320146
EUW1_6941294365,WT GigaChad#1070,0.0,66.66666666666666,66.66666666666666
EUW1_6941363514,Billy Bongo#EUW,61.111111111111114,0.0,-61.111111111111114
EUW1_6941363514,BuddhaGoesSmite#EUW,61.111111111111114,0.0,-61.111111111111114
EUW1_6941363514,Sporus#EUW,61.111111111111114,41.66666666666667,-19.444444444444446
EUW1_6941363514,Tibbtokontop#EUW,61.111111111111114,66.66666666666666,5.5555555555555465
EUW1_6941363514,WT Final Stand#EUW,61.111111111111114,50.0,-11.111111111111116
EUW1_6944992018,BuddhaGoesSmite#EUW,36.36363636363637,43.3981752450622,7.034538881425833
EUW1_6944992018,Sporus#EUW,36.36363636363637,0.0,-36.36363636363637
EUW1_6944992018,Tibbtokontop#EUW,36.36363636363637,44.18683318090264,7.823196817266275
EUW1_6944992018,WT Final Stand#EUW,36.36363636363637,0.0,-36.36363636363637
EUW1_6944992018,WT Nasty Boy#EUW,36.36363636363637,0.0,-36.36363636363637
EUW1_6945072638,BuddhaGoesSmite#EUW,36.36363636363637,43.3981752450622,7.034538881425833
EUW1_6945072638,Sporus#EUW,36.36363636363637,0.0,-36.36363636363637
EUW1_6945072638,Tibbtokontop#EUW,36.36363636363637,44.18683318090264,7.823196817266275
EUW1_6945072638,WT Final Stand#EUW,36.36363636363637,0.0,-36.36363636363637
EUW1_6945072638,WT Nasty Boy#EUW,36.36363636363637,0.0,-36.36363636363637
EUW1_6947419208,Billy Bongo#EUW,76.92307692307693,45.87739471017384,-31.045682212903085
EUW1_6947419208,BuddhaGoesSmite#EUW,76.92307692307693,0.0,-76.92307692307693
EUW1_6947419208,WT Final Stand#EUW,76.92307692307693,46.12057162695826,-30.80250529611867
EUW1_6947419208,WT GigaChad#1070,76.92307692307693,50.0,-26.923076923076927
EUW1_6947419208,WT Nasty Boy#EUW,76.92307692307693,66.66666666666666,-10.256410256410264
EUW1_6947501398,Billy Bongo#EUW,76.92307692307693,45.87739471017384,-31.045682212903085
EUW1_6947501398,BuddhaGoesSmite#EUW,76.92307692307693,0.0,-76.92307692307693
EUW1_6947501398,WT Final Stand#EUW,76.92307692307693,46.12057162695826,-30.80250529611867
EUW1_6947501398,WT GigaChad#1070,76.92307692307693,50.0,-26.923076923076927
EUW1_6947501398,WT Nasty Boy#EUW,76.92307692307693,66.66666666666666,-10.256410256410264
EUW1_6947588872,Billy Bongo#EUW,76.92307692307693,45.87739471017384,-31.045682212903085
EUW1_6947588872,BuddhaGoesSmite#EUW,76.92307692307693,0.0,-76.92307692307693
EUW1_6947588872,WT Final Stand#EUW,76.92307692307693,46.12057162695826,-30.80250529611867
EUW1_6947588872,WT GigaChad#1070,76.92307692307693,50.0,-26.923076923076927
EUW1_6947588872,WT Nasty Boy#EUW,76.92307692307693,66.66666666666666,-10.256410256410264
EUW1_6948582580,Billy Bongo#EUW,50.0,28.57142857142857,-21.42857142857143
EUW1_6948582580,BuddhaGoesSmite#EUW,50.0,44.44444444444444,-5.555555555555558
EUW1_6948582580,Tibbtokontop#EUW,50.0,66.66666666666666,16.666666666666664
EUW1_6948582580,WT Final Stand#EUW,50.0,100.0,50.0
EUW1_6948582580,WT GigaChad#1070,50.0,41.66666666666667,-8.333333333333332
EUW1_6948631056,Billy Bongo#EUW,50.0,28.57142857142857,-21.42857142857143
EUW1_6948631056,BuddhaGoesSmite#EUW,50.0,44.44444444444444,-5.555555555555558
EUW1_6948631056,Tibbtokontop#EUW,50.0,66.66666666666666,16.666666666666664
EUW1_6948631056,WT Final Stand#EUW,50.0,100.0,50.0
EUW1_6948631056,WT GigaChad#1070,50.0,41.66666666666667,-8.333333333333332
EUW1_6948676995,Billy Bongo#EUW,50.0,28.57142857142857,-21.42857142857143
EUW1_6948676995,BuddhaGoesSmite#EUW,50.0,44.44444444444444,-5.555555555555558
EUW1_6948676995,Tibbtokontop#EUW,50.0,66.66666666666666,16.666666666666664
EUW1_6948676995,WT Final Stand#EUW,50.0,100.0,50.0
EUW1_6948676995,WT GigaChad#1070,50.0,41.66666666666667,-8.333333333333332
EUW1_6956274193,Billy Bongo#EUW,76.92307692307693,45.87739471017384,-31.045682212903085
EUW1_6956274193,BuddhaGoesSmite#EUW,76.92307692307693,0.0,-76.92307692307693
EUW1_6956274193,WT Final Stand#EUW,76.92307692307693,46.12057162695826,-30.80250529611867
EUW1_6956274193,WT GigaChad#1070,76.92307692307693,50.0,-26.923076923076927
EUW1_6956274193,WT Nasty Boy#EUW,76.92307692307693,66.66666666666666,-10.256410256410264
EUW1_6956334573,Billy Bongo#EUW,76.92307692307693,45.87739471017384,-31.045682212903085
EUW1_6956334573,BuddhaGoesSmite#EUW,76.92307692307693,0.0,-76.92307692307693
EUW1_6956334573,WT Final Stand#EUW,76.92307692307693,46.12057162695826,-30.80250529611867
EUW1_6956334573,WT GigaChad#1070,76.92307692307693,50.0,-26.923076923076927
EUW1_6956334573,WT Nasty Boy#EUW,76.92307692307693,66.66666666666666,-10.256410256410264
EUW1_6956387238,Billy Bongo#EUW,76.92307692307693,45.87739471017384,-31.045682212903085
EUW1_6956387238,BuddhaGoesSmite#EUW,76.92307692307693,0.0,-76.92307692307693
EUW1_6956387238,WT Final Stand#EUW,76.92307692307693,46.12057162695826,-30.80250529611867
EUW1_6956387238,WT GigaChad#1070,76.92307692307693,50.0,-26.923076923076927
EUW1_6956387238,WT Nasty Boy#EUW,76.92307692307693,66.66666666666666,-10.256410256410264
EUW1_6962023825,Billy Bongo#EUW,50.0,28.57142857142857,-21.42857142857143
EUW1_6962023825,BuddhaGoesSmite#EUW,50.0,44.44444444444444,-5.555555555555558
EUW1_6962023825,Tibbtokontop#EUW,50.0,66.66666666666666,16.666666666666664
EUW1_6962023825,WT Final Stand#EUW,50.0,100.0,50.0
EUW1_6962023825,WT GigaChad#1070,50.0,41.66666666666667,-8.333333333333332
EUW1_6962064677,Billy Bongo#EUW,50.0,28.57142857142857,-21.42857142857143
EUW1_6962064677,BuddhaGoesSmite#EUW,50.0,44.44444444444444,-5.555555555555558
EUW1_6962064677,Tibbtokontop#EUW,50.0,66.66666666666666,16.666666666666664
EUW1_6962064677,WT Final Stand#EUW,50.0,100.0,50.0
EUW1_6962064677,WT GigaChad#1070,50.0,41.66666666666667,-8.333333333333332
EUW1_6964137968,BuddhaGoesSmite#EUW,50.0,45.08873677433341,-4.91126322566659
EUW1_6964137968,Tibbtokontop#EUW,50.0,45.87739471017384,-4.122605289826159
EUW1_6964137968,WT Final Stand#EUW,50.0,45.46012435375541,-4.53987564624459
EUW1_6964137968,WT GigaChad#1070,50.0,0.0,-50.0
